,time,seconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz,Activity
0,1663934528354.0,0.0,-2.158676,3.350586,8.025253,-1.361694,-1.392807,-0.467911,Downstairs
1,1663934528457.0,0.0,-1.842636,2.572479,5.901596,-1.266891,-0.521423,-1.235977,Downstairs
2,1663934528558.0,0.0,-2.015015,0.829498,11.185593,-0.288971,0.120941,-0.430634,Downstairs
3,1663934528659.0,0.0,-0.707779,1.059341,6.160172,-0.561676,-1.163773,0.748611,Downstairs
4,1663934528760.0,0.0,-1.500259,-1.684418,4.156219,0.505707,-2.537964,0.364059,Downstairs
5,1663934528861.0,0.0,-1.090851,-3.798492,-4.683167,2.808807,-6.576385,1.624268,Downstairs
6,1663934528963.0,0.0,7.042252,-11.18222,-8.379822,3.442642,-7.324203,5.281311,Downstairs
7,1663934529064.0,0.0,23.121704,-8.026657,-5.595367,3.27327,-1.620773,3.896469,Downstairs
8,1663934529167.0,0.0,19.640533,0.479935,-6.890625,0.548325,1.969162,-1.002686,Downstairs
9,1663934529268.0,0.0,-0.93045,-2.893494,-11.997452,0.258575,-0.370148,-1.945435,Downstairs
10,1663934529370.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Downstairs
11,1663934529471.0,1.0,4.257797,-1.701172,-3.397491,1.607193,-1.245804,-0.083359,Downstairs
12,1663934529573.0,1.0,13.049301,0.0,0.0,0.0,0.0,0.0,Downstairs
13,1663934529675.0,1.0,0.826904,-8.98674,-2.473328,0.66124,-2.350479,0.527039,Downstairs
14,1663934529777.0,1.0,4.614532,-8.402542,0.722931,0.272415,-1.182953,0.465256,Downstairs
15,1663934529878.0,1.0,4.25061,-7.724991,-1.201996,0.481216,0.260483,1.041565,Downstairs
16,1663934529980.0,1.0,2.742264,-9.309952,-1.242706,1.274826,-3.441315,4.568649,Downstairs
17,1663934530082.0,1.0,-3.350983,-9.168686,0.191422,0.627151,-2.599747,1.516678,Downstairs
18,1663934530183.0,1.0,-3.137894,-10.42804,1.285568,0.862579,-0.880417,-0.49881,Downstairs
19,1663934530285.0,2.0,-1.710953,-13.866119,0.931229,0.786942,-0.067612,-0.411453,Downstairs
20,1663934530387.0,2.0,-1.500259,-10.72493,0.81871,-0.203751,0.232788,-0.073761,Downstairs
21,1663934530489.0,2.0,-1.296753,-9.671478,1.048553,-0.122787,0.428802,-0.069504,Downstairs
22,1663934530590.0,2.0,-1.131561,-10.15271,0.845047,0.269226,0.036774,0.068985,Downstairs
23,1663934530691.0,2.0,-2.098816,-10.66507,-0.376007,0.06575,0.746246,0.019974,Downstairs
24,1663934530793.0,2.0,0.259476,-11.277985,-0.057571,-0.161148,0.344635,-0.03862,Downstairs
25,1663934530895.0,2.0,-1.742081,-9.779221,0.251282,-0.647964,-0.116623,-0.006653,Downstairs
26,1663934530996.0,2.0,-2.486679,-10.952377,0.629562,-0.559555,0.085785,0.124374,Downstairs
27,1663934531102.0,2.0,-2.27359,-9.606827,-0.440643,-0.643707,0.196564,0.436493,Downstairs
28,1663934531203.0,2.0,-1.260849,-9.774429,-0.627396,-0.271927,0.161407,0.10733,Downstairs
29,1663934531304.0,3.0,-2.400482,-10.899704,-1.678452,-0.258087,-0.22847,0.01358,Downstairs
30,1663934531406.0,3.0,-2.788345,-9.602051,-2.075882,-0.915344,-0.277481,0.063644,Downstairs
31,1663934531507.0,3.0,-2.158676,-9.992294,-1.905899,-0.565948,-0.419159,0.024231,Downstairs
32,1663934531608.0,3.0,-2.455551,-8.17749,-2.985687,0.022079,0.171005,-0.042877,Downstairs
33,1663934531710.0,3.0,-1.916855,-8.692245,-3.41185,0.471619,0.251968,-0.024765,Downstairs
34,1663934531811.0,3.0,-1.579269,-8.728165,-3.387909,0.403442,0.214676,-0.120636,Downstairs
35,1663934531912.0,3.0,-2.055725,-6.903778,-2.573883,0.067886,0.34996,0.023178,Downstairs
