,time,seconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz,Activity
0,1663930777231.0,0.0,0.008087,4.042511,7.828934,0.187302,-0.627762,-0.259171,Running
1,1663930777332.0,0.0,0.314545,2.390518,9.069122,-0.73735,-0.625626,-0.213364,Running
2,1663930777433.0,0.0,1.26265,1.882935,7.962997,-0.847061,-0.618179,-0.108963,Running
3,1663930777534.0,0.0,1.530792,1.607605,9.157715,-0.621231,0.088089,0.299026,Running
4,1663930777636.0,0.0,0.142151,0.906113,7.790619,0.042435,-1.730316,0.128586,Running
5,1663930777739.0,0.0,4.391861,-3.741043,1.852997,0.380112,-4.324234,1.772293,Running
6,1663930777842.0,0.0,9.718964,-8.579712,0.291977,1.158829,-3.702118,5.340927,Running
7,1663930777943.0,0.0,14.492996,-8.361847,1.228119,1.536987,-2.355621,5.382477,Running
8,1663930778044.0,0.0,23.789688,0.695419,-2.648102,1.542328,-0.839752,0.778397,Running
9,1663930778146.0,0.0,1.911469,-6.173553,-2.212357,0.313004,-0.546799,-2.058395,Running
10,1663930778247.0,1.0,7.985565,-8.653946,0.136353,0.829666,-1.347885,-0.555313,Running
11,1663930778349.0,1.0,11.174637,-4.116928,-0.629791,-0.256912,1.370667,-0.961182,Running
12,1663930778450.0,1.0,9.36702,-1.631744,-1.779007,-1.46492,0.696365,-1.511917,Running
13,1663930778552.0,1.0,2.854782,-3.108963,-1.688019,1.245117,-3.769226,1.931015,Running
14,1663930778653.0,1.0,9.50827,-11.136734,-1.091873,-0.937622,1.285446,2.540344,Running
15,1663930778754.0,1.0,3.61615,-6.444092,-3.505219,-0.788483,1.10968,-1.161453,Running
16,1663930778856.0,1.0,2.241867,-5.991592,-1.314529,0.592102,-1.209396,1.080933,Running
17,1663930778957.0,1.0,3.903442,-13.296295,-1.429443,0.190506,0.285172,2.00238,Running
18,1663930779059.0,1.0,0.635361,-10.691406,-2.786957,-0.489136,2.119553,2.637283,Running
19,1663930779160.0,1.0,-0.197815,-8.067368,-1.395935,0.214996,-1.172119,1.749924,Running
20,1663930779261.0,2.0,-3.791519,-8.859848,-1.324112,0.487701,-1.492752,0.471603,Running
21,1663930779362.0,2.0,-3.619125,-5.045883,-1.209183,0.484512,0.055069,0.105148,Running
22,1663930779464.0,2.0,-5.591949,-17.490936,-0.651337,0.561218,0.206345,-0.845062,Running
23,1663930779565.0,2.0,-3.473083,-8.505493,-0.50769,0.80835,-0.612854,-0.606445,Running
24,1663930779668.0,2.0,-4.076431,-9.863007,-0.806961,-0.457184,-0.001389,0.07106,Running
25,1663930779770.0,2.0,-2.694977,-9.731323,-0.287415,-0.218567,-0.050385,0.051895,Running
26,1663930779871.0,2.0,-2.323868,-9.446426,-0.225174,0.060532,-0.11644,0.153091,Running
27,1663930779972.0,2.0,-3.432388,-10.123978,-0.373611,0.172394,-0.199524,0.103027,Running
28,1663930780073.0,2.0,-4.009384,-10.143127,0.076508,0.037109,0.031631,-0.095123,Running
29,1663930780174.0,2.0,-3.372528,-10.004272,-0.390366,-0.094986,0.208466,-0.308167,Running
30,1663930780277.0,3.0,-3.317459,-10.085678,-0.337692,-0.030014,0.134964,0.012466,Running
31,1663930780378.0,3.0,-3.209717,-9.894135,-0.354446,0.042435,0.077438,0.001816,Running
32,1663930780479.0,3.0,-3.216904,-10.040176,-0.194046,0.059479,-0.058914,0.013535,Running
33,1663930780581.0,3.0,-3.212112,-9.590073,-0.304169,-0.006577,-0.164368,-0.050385,Running
34,1663930780682.0,3.0,-3.032547,-9.934845,-0.340088,0.069061,-0.176086,0.069992,Running
35,1663930780784.0,3.0,-3.209717,-9.568527,-0.519653,-0.008698,-0.09407,0.044434,Running
36,1663930780886.0,3.0,-2.953552,-9.75528,-0.206009,-0.089661,-0.183548,0.050827,Running
37,1663930780987.0,3.0,-3.528152,-9.566132,-0.519653,-0.023621,-0.171829,0.07106,Running
38,1663930781089.0,3.0,-2.091629,-10.066513,-2.952164,-0.893936,-0.516983,-0.188858,Running
39,1663930781190.0,3.0,-3.394073,-12.424805,-4.625717,-2.661209,-0.826965,-0.489273,Running
40,1663930781292.0,4.0,-3.166626,-8.27565,-4.731049,-2.143494,-1.619522,-0.637344,Running
41,1663930781394.0,4.0,-4.768356,0.0,0.0,0.0,0.0,0.0,Running
42,1663930781495.0,4.0,-4.952698,-5.58696,-11.238495,-1.108063,-1.018723,0.673996,Running
43,1663930781597.0,4.0,-3.908829,-3.606964,-7.850693,1.142853,-0.671432,-0.590469,Running
44,1663930781698.0,4.0,-1.835449,-2.342819,1.161072,1.9077,0.995697,-1.411789,Running
