,time,seconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz,Activity
0,1663929974093.0,0.0,-1.804321,0.175873,7.014893,0.453964,-0.805527,-0.6064,Sitting
1,1663929974194.0,0.0,1.846832,-0.791382,10.354813,-0.265076,-1.355194,-0.933441,Sitting
2,1663929974296.0,0.0,3.027176,0.714569,7.352478,-0.008347,-1.965591,0.153137,Sitting
3,1663929974398.0,0.0,3.929779,-2.38353,7.644577,-1.007568,-1.235886,0.258591,Sitting
4,1663929974499.0,0.0,5.691925,-4.320435,1.687805,-0.142578,-2.993576,1.236511,Sitting
5,1663929974600.0,0.0,4.913803,-9.64035,1.434021,-0.381195,-3.139526,3.580093,Sitting
6,1663929974701.0,0.0,16.097122,-6.104111,4.675766,0.677673,-3.242844,3.041061,Sitting
7,1663929974803.0,0.0,16.906357,-0.595062,-1.609009,2.221252,-1.25293,0.122238,Sitting
8,1663929974906.0,0.0,3.331238,-3.843994,-2.446991,0.779938,-0.679825,-1.672729,Sitting
9,1663929975007.0,0.0,11.177032,-2.996445,2.923203,-0.005157,-1.929382,0.485489,Sitting
10,1663929975108.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Sitting
11,1663929975210.0,1.0,5.474045,-7.844696,-1.163696,-0.080795,-1.789825,1.88739,Sitting
12,1663929975311.0,1.0,2.162857,-9.082504,-1.577896,0.05983,0.473862,0.0,Sitting
13,1663929975412.0,1.0,4.796494,-2.36676,-1.735901,-0.126602,0.465332,0.252197,Sitting
14,1663929975514.0,1.0,4.090195,-8.352264,-1.288193,0.721359,-1.668396,1.525192,Sitting
15,1663929975616.0,1.0,-1.596039,-7.935684,1.050949,0.198303,-3.591187,2.731079,Sitting
16,1663929975717.0,1.0,-1.653488,-12.144684,-1.173264,0.613754,-0.231354,2.409363,Sitting
17,1663929975819.0,1.0,-3.370132,-7.411346,-0.232346,0.295242,0.004074,0.617584,Sitting
18,1663929975920.0,1.0,-4.421188,-10.028214,0.052567,0.4039,0.219254,-0.064178,Sitting
19,1663929976021.0,1.0,-2.493851,-7.909348,-0.699219,-1.055511,0.470657,-0.839691,Sitting
20,1663929976122.0,2.0,-2.474701,-9.130386,-0.914703,-1.172684,-0.325089,-0.074829,Sitting
21,1663929976224.0,2.0,-3.324646,-8.953217,-2.454163,-1.680817,-0.222824,0.040222,Sitting
22,1663929976326.0,2.0,-2.611176,-8.292419,-4.551483,-1.891739,0.023254,-0.309189,Sitting
23,1663929976427.0,2.0,-2.606384,-5.227844,-6.634445,-1.778824,-0.145065,-0.340088,Sitting
24,1663929976529.0,2.0,-2.03656,-5.124893,-8.267288,-1.97377,-0.140793,0.471649,Sitting
25,1663929976630.0,2.0,-1.543365,-3.29332,-8.913727,-2.351929,-0.077942,0.592026,Sitting
26,1663929976733.0,2.0,-2.726089,-2.191986,-8.475586,-2.476578,0.353485,0.287354,Sitting
27,1663929976835.0,2.0,-2.771591,2.519806,-18.607849,-1.519958,0.144684,0.637833,Sitting
28,1663929976937.0,2.0,-1.99826,2.768799,-6.430939,0.513626,-0.387939,-0.291077,Sitting
29,1663929977038.0,2.0,-3.075653,-0.911087,-8.760498,0.189789,0.207535,-0.177094,Sitting
