,time,seconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz,Activity
0,1663929891416.0,0.0,-1.54097,3.357773,0.0,0.0,0.0,0.0,Standing
1,1663929891517.0,0.0,-3.082825,2.780762,6.497757,0.082794,0.98912,-1.538544,Standing
2,1663929891618.0,0.0,-1.291962,2.67543,7.668518,-0.831192,-1.189346,-1.142258,Standing
3,1663929891719.0,0.0,-2.896088,0.851044,10.189606,-1.018677,-1.723038,-1.768631,Standing
4,1663929891821.0,0.0,-2.103607,-2.079468,10.943787,-1.792068,-0.753647,0.406631,Standing
5,1663929891923.0,0.0,-3.32225,-2.828842,7.476974,1.012772,-1.943542,0.425812,Standing
6,1663929892024.0,0.0,3.189972,-3.611755,-3.217926,4.102051,-4.67276,2.907883,Standing
7,1663929892126.0,0.0,11.16507,-9.252487,-1.424667,3.28392,-6.569992,5.13002,Standing
8,1663929892227.0,0.0,21.175217,-6.046661,-1.757462,4.125473,-2.956619,5.274902,Standing
9,1663929892329.0,0.0,12.443573,1.459167,-11.657486,1.541153,0.416016,-0.537186,Standing
10,1663929892433.0,1.0,2.3927,-4.466476,-7.249756,0.465225,-0.525681,-0.148361,Standing
11,1663929892536.0,1.0,7.705444,-3.640488,-9.766068,1.463379,0.511887,1.940613,Standing
12,1663929892638.0,1.0,8.560165,-13.202927,0.356628,-1.133728,0.783524,0.802917,Standing
13,1663929892739.0,1.0,6.587357,-7.009125,-1.982513,-0.929199,-1.286285,2.364594,Standing
14,1663929892840.0,1.0,3.087021,-10.854218,0.0,0.0,0.0,0.0,Standing
15,1663929892941.0,1.0,5.488403,-11.163055,-0.557968,0.862579,-1.612244,0.833801,Standing
16,1663929893043.0,1.0,1.42305,-7.509506,-2.04715,0.269226,-1.835953,2.437027,Standing
17,1663929893145.0,1.0,-1.579269,-9.214188,-0.682465,-0.01947,-0.342453,1.015961,Standing
18,1663929893248.0,1.0,-0.451599,-10.521423,-0.598663,0.879623,-0.334991,1.558182,Standing
19,1663929893350.0,1.0,-2.86496,-11.900482,-0.119827,0.50145,0.048492,0.043381,Standing
20,1663929893452.0,2.0,-2.024597,-10.088074,0.392532,-0.202682,0.088974,-0.100433,Standing
21,1663929893553.0,2.0,-1.174652,-10.047363,-0.34967,-0.163269,0.081512,-0.020538,Standing
22,1663929893654.0,2.0,-2.060501,-10.384949,-0.016876,0.039124,-0.103836,-0.030121,Standing
23,1663929893755.0,2.0,-1.763626,-10.19101,0.342255,-0.043961,0.137985,-0.034378,Standing
24,1663929893857.0,2.0,-1.907272,-10.167068,0.251282,-0.022659,0.311615,-0.039703,Standing
25,1663929893959.0,2.0,-1.150711,-10.265244,-0.28981,0.015686,0.330795,-0.010941,Standing
26,1663929894060.0,2.0,-1.100433,-10.34903,-0.610626,0.007172,0.049561,-0.018402,Standing
27,1663929894162.0,2.0,-1.447586,-10.164688,-0.194046,-0.043961,-0.218887,-0.017334,Standing
