,time,seconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz,Activity
0,1663934505264.0,0.0,-1.809113,4.794296,6.143402,-0.601105,-0.63327,-0.196274,Upstairs
1,1663934505365.0,0.0,-1.222534,3.137497,7.654144,-1.456512,-0.35524,0.410934,Upstairs
2,1663934505466.0,0.0,0.858017,2.277985,7.280655,-0.920685,-0.489456,-0.057785,Upstairs
3,1663934505567.0,0.0,0.544388,0.695419,12.006805,-1.077271,-1.034882,0.149933,Upstairs
4,1663934505668.0,0.0,3.371933,2.981888,6.734772,0.045517,-1.099854,3.106049,Upstairs
5,1663934505770.0,0.0,4.444534,-7.890182,-0.502899,0.0,0.0,0.0,Upstairs
6,1663934505871.0,0.0,13.688553,-6.527893,-3.086243,3.76329,-3.835464,4.894623,Upstairs
7,1663934505973.0,0.0,15.838547,-2.706741,-2.061523,2.580841,-0.397842,2.922821,Upstairs
8,1663934506074.0,0.0,13.494614,2.591629,-6.397415,1.500671,0.03891,0.058319,Upstairs
9,1663934506178.0,0.0,3.517975,-5.108124,-2.832458,-1.750519,-0.423416,-0.763,Upstairs
10,1663934506279.0,1.0,13.77475,-3.76738,0.119598,-0.821609,-0.486267,1.19603,Upstairs
11,1663934506381.0,1.0,9.58728,-10.016235,-1.063141,-0.543579,-1.181885,1.178986,Upstairs
12,1663934506482.0,1.0,3.010406,-10.650711,-1.020035,0.536606,-0.051636,2.132401,Upstairs
13,1663934506584.0,1.0,-1.361404,-10.681824,1.627945,0.389603,-1.809326,1.700958,Upstairs
14,1663934506685.0,1.0,-1.818695,-12.630707,-1.486908,0.019958,-0.094254,1.478317,Upstairs
15,1663934506786.0,1.0,-1.627151,-12.817459,-0.677673,0.368286,-0.729141,0.862595,Upstairs
16,1663934506888.0,1.0,-1.959946,-5.167984,-0.153336,1.048996,-0.752579,0.62291,Upstairs
17,1663934506989.0,1.0,-3.183395,-9.187851,1.000671,0.262833,0.015472,0.086029,Upstairs
18,1663934507091.0,1.0,-2.570465,-9.807938,0.969543,-0.701233,0.271133,-0.482834,Upstairs
19,1663934507193.0,1.0,-1.706161,-10.265244,0.878555,-0.116409,0.168869,0.048737,Upstairs
20,1663934507295.0,2.0,-1.969528,-10.119186,0.627167,-0.042892,0.111343,0.08815,Upstairs
21,1663934507397.0,2.0,-2.196976,-10.112015,0.445206,-0.023727,0.111343,0.09668,Upstairs
22,1663934507498.0,2.0,-1.550537,-10.241302,-0.012085,-0.027985,0.082581,0.093475,Upstairs
23,1663934507599.0,2.0,-1.725327,-10.356216,-0.620209,-0.122787,-0.203964,0.111588,Upstairs
24,1663934507701.0,2.0,-2.955933,-11.079269,-2.317703,-0.831192,-0.391464,-0.023697,Upstairs
25,1663934507802.0,2.0,-3.506607,-13.633881,-5.003998,-2.76358,0.021866,-0.122772,Upstairs
26,1663934507904.0,2.0,0.245102,-10.610001,-5.276932,-2.896744,0.0,0.0,Upstairs
27,1663934508006.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Upstairs
28,1663934508108.0,2.0,-3.142685,-3.360367,-4.917801,-0.614944,-0.550186,0.296951,Upstairs
29,1663934508210.0,2.0,-3.686172,-3.17601,-6.162781,0.496124,0.166748,-0.494553,Upstairs
30,1663934508312.0,3.0,-8.239944,-14.682541,-14.52095,0.518494,-0.037796,-0.515854,Upstairs
31,1663934508414.0,3.0,-3.841797,-9.690628,-5.099762,1.544342,0.74411,-1.020782,Upstairs
32,1663934508516.0,3.0,-1.387741,-9.683441,-3.603378,1.950211,1.371552,-0.238876,Upstairs
33,1663934508618.0,3.0,-1.505051,-9.863007,-2.786957,2.082306,1.398193,0.130768,Upstairs
34,1663934508720.0,3.0,0.462982,-8.74971,-2.030396,1.324905,0.901779,0.113724,Upstairs
35,1663934508822.0,3.0,-1.416473,-11.294739,-2.032791,0.776291,0.313751,0.09668,Upstairs
36,1663934508924.0,3.0,-0.410904,-9.860611,-1.017654,0.683609,0.548111,0.100937,Upstairs
37,1663934509026.0,3.0,-3.264786,-13.253204,-1.264252,0.532349,0.651443,-0.044998,Upstairs
38,1663934509128.0,3.0,-3.568848,-13.621902,-2.138138,-0.78006,0.224258,0.253265,Upstairs
39,1663934509229.0,4.0,1.095047,-12.250031,-0.534012,-2.791275,-0.208237,0.203201,Upstairs
40,1663934509331.0,4.0,-3.978256,-8.261292,-1.391144,-3.751083,-2.007462,-0.429565,Upstairs
41,1663934509432.0,4.0,-2.19458,-7.334732,-3.409454,-2.540939,-0.599182,0.145676,Upstairs
