,time,seconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz,Activity
0,1663930562949.0,0.0,-2.321472,4.131104,7.371628,0.1138,-0.00885,-0.218689,Walking
1,1663930563050.0,0.0,-2.879318,3.858154,6.670135,-0.66597,0.430038,-0.124939,Walking
2,1663930563151.0,0.0,-2.580048,2.807098,9.722748,-0.626556,-0.470108,0.345901,Walking
3,1663930563253.0,0.0,-0.15712,3.54213,9.227142,-0.394333,0.07637,-0.0802,Walking
4,1663930563354.0,0.0,-1.945587,0.637955,12.4617,-0.913116,-1.270111,-1.213654,Walking
5,1663930563455.0,0.0,0.678467,-1.248672,9.77063,-1.818588,-2.673065,2.192001,Walking
6,1663930563557.0,0.0,0.151733,-3.685974,6.449875,0.948975,-3.295181,0.532318,Walking
7,1663930563659.0,0.0,0.659302,-12.024979,-1.577896,5.057693,-10.957626,3.784576,Walking
8,1663930563761.0,0.0,18.91748,-8.936462,6.969406,2.697067,-1.946564,5.551849,Walking
9,1663930563862.0,0.0,17.480972,-2.06749,-4.920197,2.648071,-1.393692,1.060699,Walking
10,1663930563964.0,1.0,-0.31514,-5.208679,-1.625778,-1.757874,0.580246,-1.3255,Walking
11,1663930564066.0,1.0,7.911346,-11.297134,4.29509,1.812897,-0.68103,0.802902,Walking
12,1663930564168.0,1.0,7.916138,-10.703369,-4.462906,-0.756516,-0.087677,0.273468,Walking
13,1663930564270.0,1.0,4.025558,-11.436005,-3.059906,-0.646805,-1.401138,1.476151,Walking
14,1663930564371.0,1.0,4.11174,-5.476837,0.112411,0.576126,-1.569458,0.09024,Walking
15,1663930564473.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Walking
16,1663930564575.0,1.0,-2.867355,-17.93866,-1.089478,0.30661,0.07637,0.642044,Walking
17,1663930564676.0,1.0,-0.300766,-12.12793,-0.936249,0.819,-0.731094,1.461227,Walking
18,1663930564780.0,1.0,-1.349426,-9.400925,-0.747101,0.521805,-0.271957,2.034348,Walking
19,1663930564882.0,1.0,-2.922424,-9.927658,1.048553,0.458954,-0.070633,-0.051437,Walking
20,1663930564983.0,2.0,-2.522583,-9.302765,0.610413,-0.669174,0.105133,-0.477554,Walking
21,1663930565084.0,2.0,-1.861786,-10.289185,0.308746,-0.128021,0.030563,0.028458,Walking
22,1663930565185.0,2.0,-2.144302,-10.033005,0.579285,-0.025742,-0.00032,0.052948,Walking
23,1663930565286.0,2.0,-2.086838,-10.219742,0.069321,-0.121628,0.120056,0.014603,Walking
24,1663930565388.0,2.0,-1.871368,-10.942795,-1.27861,-0.531754,-0.115372,-0.098312,Walking
25,1663930565489.0,2.0,-2.230499,-11.22052,-2.12616,-1.4319,-0.19313,0.010345,Walking
26,1663930565591.0,2.0,-3.504211,-9.355438,-2.178833,-2.057205,-0.716187,0.427933,Walking
27,1663930565693.0,2.0,-3.236053,-8.103271,-3.079056,-0.644669,-0.413651,0.486511,Walking
28,1663930565795.0,2.0,-2.66864,-6.585342,-3.308899,0.566544,0.290497,-0.235733,Walking
29,1663930565896.0,2.0,-6.051636,-9.381775,-7.051041,1.251511,0.779449,0.206345,Walking
30,1663930566001.0,3.0,-0.798767,-9.625992,-3.086243,-0.116302,-0.108978,-0.166489,Walking
31,1663930566102.0,3.0,-2.149094,-4.63887,3.698929,0.166,-0.258118,-0.788605,Walking
32,1663930566203.0,3.0,2.349609,-12.453537,0.517029,1.012878,0.300079,-0.506317,Walking
33,1663930566305.0,3.0,-0.925659,-11.443192,-1.582672,0.929794,1.246033,-0.161163,Walking
34,1663930566406.0,3.0,-0.463577,-9.748093,-0.19165,0.465332,0.274521,-0.302841,Walking
35,1663930566507.0,3.0,-1.160294,-9.824707,-0.009689,0.61235,0.71553,-0.061035,Walking
36,1663930566609.0,3.0,-1.308731,-10.64592,-1.486908,0.222458,1.063873,-0.012024,Walking
37,1663930566710.0,3.0,0.53241,-13.243622,-2.367981,-0.188736,0.410873,-0.326279,Walking
38,1663930566812.0,3.0,-6.552032,-12.692963,-1.616196,-2.15947,-0.879166,0.846573,Walking
39,1663930566915.0,3.0,3.326447,-13.53093,-2.08786,-2.235107,-0.014175,-0.276215,Walking
40,1663930567018.0,4.0,-2.206558,-6.946869,-0.852448,-1.463852,-1.214722,-0.228271,Walking
41,1663930567119.0,4.0,-2.414856,-6.329163,-0.94342,0.048813,-0.41684,-0.46051,Walking
42,1663930567220.0,4.0,-1.301544,-11.143906,-9.502701,1.497574,0.116852,-0.170746,Walking
43,1663930567321.0,4.0,-1.361404,-8.558167,-8.111664,-1.420181,-0.338013,-0.439194,Walking
44,1663930567423.0,4.0,-0.499481,-24.292862,-9.799576,0.333252,-0.197403,0.574936,Walking
45,1663930567524.0,4.0,4.293701,-16.61705,-2.109406,1.474136,0.780518,0.161606,Walking
46,1663930567626.0,4.0,-1.086075,-10.001877,0.08847,1.492249,1.025528,-0.05571,Walking
47,1663930567729.0,4.0,-0.609619,-9.43924,0.445206,1.00116,0.595154,0.036972,Walking
48,1663930567830.0,4.0,-1.246475,-10.574097,-0.97934,0.984116,0.866806,0.128586,Walking
49,1663930567932.0,5.0,1.34166,-11.617966,-0.625,-0.064102,0.815674,-0.085526,Walking
50,1663930568033.0,5.0,-0.171478,-13.820633,-1.71196,-1.061188,-0.621368,-0.279404,Walking
51,1663930568134.0,5.0,-2.302322,-11.704147,2.480286,-3.267349,0.131775,0.87854,Walking
52,1663930568235.0,5.0,-1.318298,-8.862228,-1.055954,-1.92511,-1.065582,-0.436005,Walking
53,1663930568337.0,5.0,-1.121979,-6.15918,-0.838089,-0.325089,-0.684219,-0.36676,Walking
54,1663930568438.0,5.0,-1.746872,-5.484024,-1.410294,1.543381,-0.137741,-0.682083,Walking
55,1663930568539.0,5.0,-1.9384,-19.454178,-9.957596,-1.426575,-1.80275,0.143494,Walking
56,1663930568641.0,5.0,-1.792358,-21.259415,-11.607208,1.027802,-0.036545,0.513153,Walking
57,1663930568742.0,5.0,3.245041,-9.144745,4.31424,0.960693,-0.385941,0.537643,Walking
58,1663930568845.0,5.0,-2.783554,-9.503876,0.236908,1.603043,0.759216,-0.124939,Walking
59,1663930568946.0,6.0,0.544388,-9.209396,0.0,0.0,0.0,0.0,Walking
60,1663930569047.0,6.0,-1.30394,-10.392136,-1.316925,1.029922,1.174667,0.14563,Walking
61,1663930569149.0,6.0,1.394333,-10.875763,-0.261078,0.159607,0.710205,-0.072754,Walking
62,1663930569252.0,6.0,-0.111633,-13.985825,-2.485291,-0.694733,-0.102585,-0.161163,Walking
63,1663930569354.0,6.0,-3.149872,-11.503036,2.473099,-3.109695,-0.25386,0.818878,Walking
64,1663930569455.0,6.0,-1.842636,-10.779984,-0.732742,-2.330978,-1.230698,-0.486069,Walking
65,1663930569556.0,6.0,-0.829895,-5.237411,-0.814148,-0.161041,-0.544678,-0.353973,Walking
66,1663930569658.0,6.0,-2.86496,-8.203827,-4.582611,2.391342,0.503555,-0.322021,Walking
67,1663930569760.0,6.0,0.292999,-5.261353,-3.442978,-1.96666,-1.433105,-0.594727,Walking
68,1663930569861.0,6.0,7.193085,-14.747177,4.618301,-0.949326,-0.756653,-0.075943,Walking
69,1663930569965.0,7.0,6.460449,-17.265884,-1.582672,1.318619,-0.633087,0.214874,Walking
70,1663930570067.0,7.0,0.67128,-10.624374,-0.452621,1.638199,1.08519,0.054016,Walking
71,1663930570168.0,7.0,-0.47554,-9.846252,-0.502899,1.260025,0.77626,0.082779,Walking
72,1663930570270.0,7.0,-0.470764,-10.320297,-2.676834,1.033127,1.11821,0.215942,Walking
73,1663930570372.0,7.0,0.091873,-12.997025,-2.312912,-0.024689,-0.118561,-0.040787,Walking
74,1663930570473.0,7.0,-1.593643,-14.246796,-1.984909,-1.873978,-0.779037,0.190369,Walking
75,1663930570574.0,7.0,0.925064,-12.678589,-1.043991,-2.96907,-0.211243,0.255356,Walking
76,1663930570676.0,7.0,-2.445969,-6.429733,-0.598663,-1.689697,-0.725769,-0.17395,Walking
77,1663930570777.0,7.0,-2.230499,-4.830399,-0.11264,0.50795,-0.032288,-0.313492,Walking
78,1663930570879.0,7.0,0.714371,-14.926743,-12.579254,2.397736,-0.136673,0.041229,Walking
79,1663930570980.0,8.0,-2.493851,-0.40831,4.733231,-0.497665,-1.026169,-0.838669,Walking
80,1663930571082.0,8.0,-6.652588,-3.221497,5.054047,0.026443,0.44603,-0.979294,Walking
81,1663930571185.0,8.0,1.377563,-13.720078,-2.564301,1.170547,0.402344,-0.195251,Walking
82,1663930571287.0,8.0,0.546783,-10.155106,-0.660919,1.479477,0.836975,0.143494,Walking
83,1663930571388.0,8.0,-1.263245,-9.269257,0.066925,1.09491,0.247879,0.031647,Walking
84,1663930571489.0,8.0,-1.169861,-10.317917,-2.408676,1.064011,0.904083,0.259613,Walking
85,1663930571591.0,8.0,-1.421249,-12.673798,-3.517197,-0.413498,0.486496,-0.355042,Walking
86,1663930571694.0,8.0,-4.878479,-12.66423,0.236908,-3.031921,-1.164658,0.852966,Walking
87,1663930571799.0,8.0,1.150116,-11.342621,-0.962585,-2.223389,-0.842941,0.002884,Walking
88,1663930571900.0,8.0,-1.627151,-6.025101,-0.397552,-1.028168,-0.763046,-0.297516,Walking
89,1663930572002.0,9.0,-3.264786,-5.570206,0.454788,0.89357,-0.200592,-0.250641,Walking
90,1663930572103.0,9.0,-2.125153,-21.666428,-20.029999,0.68158,-0.569168,0.419403,Walking
91,1663930572204.0,9.0,-4.560059,-17.28743,-8.272079,1.283463,-0.06424,0.162674,Walking
92,1663930572306.0,9.0,1.521225,-7.183899,2.276779,0.673065,-0.382751,0.454559,Walking
93,1663930572407.0,9.0,-5.352539,-7.361069,-0.689636,1.325012,0.120056,-0.700195,Walking
94,1663930572509.0,9.0,0.371994,-10.052155,-0.945816,1.296249,0.503555,-0.129211,Walking
95,1663930572612.0,9.0,-0.959167,-9.776825,-0.601059,1.205704,0.197815,0.000763,Walking
96,1663930572713.0,9.0,1.092651,-11.471909,0.529007,0.059479,0.299011,0.092361,Walking
97,1663930572815.0,9.0,0.925064,-13.597961,-2.851608,-0.542404,0.002869,-0.275146,Walking
98,1663930572916.0,9.0,-3.348587,-11.014618,2.425217,-3.238586,-1.928452,1.311035,Walking
99,1663930573017.0,10.0,0.601837,-11.819077,-0.766251,-2.154144,-1.870926,-0.415756,Walking
